# Title: Crypto Firewall (Splunk),,,,,,,
# Updated: 2026-01-05T12:03:18Z,,,,,,,
# Expires: 1 days (update frequency),,,,,,,
# Homepage: https://github.com/chartingshow/crypto-firewall/,,,,,,,
# Contribute: https://github.com/chartingshow/crypto-firewall/issues,,,,,,,
# License: GPL-3.0 license,,,,,,,
# Source: https://github.com/chartingshow/crypto-firewall/blob/master/src/blacklists/splunk.csv, stamparm/ipsum, binarydefense, Proofpoint emergingthreats, greensnow, threatview, myip.ms, firehol
ip,message,updated,,,,,
104.21.38.131,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.4.158,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.42.202,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.43.36,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.48.1,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.48.19,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.5.8,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.51.233,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.53.105,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.54.47,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.56.17,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.57.224,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.58.170,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.64.1,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.64.142,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.64.89,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.66.43,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.7.218,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.70.114,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.74.187,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.76.10,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.76.138,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.80.1,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.87.118,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.88.91,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.89.104,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.9.236,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.91.63,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.93.105,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.95.47,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.96.1,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.21.96.6,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.216.33.74,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.218.235.142,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.223.119.167,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
104.223.97.2,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
